brand,country,month,gamma_fit
ABRRE,Etheria,2.0,"(0.4234358160136502, -1.2149899649603314e-29, 0.04851806978047079)"
ABRRE,Etheria,3.0,"(0.7151179239055258, -4.926582470894779e-32, 0.1992170513819478)"
ABRRE,Etheria,5.0,"(0.6329410217233394, -1.7518163540265497e-30, 0.2112081564703907)"
ABRRE,Etheria,6.0,"(0.757730112127915, -3.5961426011846496e-31, 0.20823360052046203)"
ABRRE,Etheria,7.0,"(0.20461409435214495, -3.0539571273696367e-29, 0.07243200143106723)"
ABRRE,Etheria,10.0,"(0.5100532581454964, -6.023471321399867e-31, 0.22604738573738614)"
ABRRE,Etheria,11.0,"(0.6924142345363133, -3.876233496776406e-31, 0.22716022019262389)"
ABRRE,Etheria,12.0,"(0.6817067408269002, -2.5454437799267843e-30, 0.21771819957488467)"
ABRRE,Gallifrey,3.0,"(0.6788135916227845, -2.315815118896102e-31, 0.05370262756575853)"
ABRRE,Gallifrey,4.0,"(0.3611742445665469, -1.1562602004252209e-29, 0.43495775635490613)"
ABRRE,Gallifrey,5.0,"(0.6048305730227235, 0.021068645578148137, 0.051033122786204914)"
ABRRE,Gallifrey,6.0,"(0.24761442659109745, -1.3607329044801799e-29, 0.9756106825546704)"
ABRRE,Gallifrey,7.0,"(2.1611504866261946, -0.004030427319051045, 0.02198313746985788)"
ABRRE,Gallifrey,8.0,"(1.4179641852478515, 0.004043747489185865, 0.030730471182524935)"
ABRRE,Gallifrey,9.0,"(5.66434434011796, -0.024173732896973197, 0.013094841957238802)"
ABRRE,Gallifrey,10.0,"(0.9615069510895218, 0.00453370603548343, 0.043950283097463363)"
ABRRE,Gallifrey,11.0,"(0.6081022166193839, -2.1687455738029375e-29, 0.23266715337789418)"
ABRRE,Gondor,1.0,"(0.3560665797689061, -1.7071106024391592e-29, 0.051040558700084754)"
ABRRE,Gondor,2.0,"(0.7575381414577471, -2.6562847705703836e-30, 0.048654326296994774)"
ABRRE,Gondor,3.0,"(0.689308326444711, -3.6622227861372357e-29, 0.04424862705955936)"
ABRRE,Gondor,4.0,"(0.8066518047695452, -1.5509883086245874e-29, 0.04226675308981789)"
ABRRE,Gondor,5.0,"(0.7475164753044574, -1.990494503534563e-31, 0.045460268128876255)"
ABRRE,Gondor,6.0,"(0.46096147867625437, -2.683819240826055e-30, 0.05961088864887083)"
ABRRE,Gondor,7.0,"(0.6518224387227511, -9.494767303226414e-30, 0.054432914757161874)"
ABRRE,Gondor,8.0,"(0.7127646255459434, -9.249279370366004e-30, 0.036629056392070494)"
ABRRE,Gondor,9.0,"(0.6706464059085433, -1.2617540367735977e-28, 0.04739861880582807)"
ABRRE,Gondor,10.0,"(0.3365711677491217, -1.6791977000421408e-31, 0.07800479153318195)"
ABRRE,Gondor,11.0,"(0.7565065197810845, -1.4515336271535601e-27, 0.06651903963991943)"
ABRRE,Gondor,12.0,"(0.4199955158447386, -6.727205029725051e-30, 0.06545188595527465)"
ABRRE,Sokovia,1.0,"(0.30125941737380113, -7.59296219154573e-30, 0.07723174466569657)"
ABRRE,Sokovia,2.0,"(0.49736682689864353, -1.3566701639944956e-30, 0.06543653968946658)"
ABRRE,Sokovia,3.0,"(0.6265140260357902, -1.2800163828237285e-29, 0.041970953897508295)"
ABRRE,Sokovia,4.0,"(0.4395837648997745, -9.398839487128977e-33, 0.11432129182376212)"
ABRRE,Sokovia,5.0,"(0.5696269755702486, -1.0215038041392883e-29, 0.059126731195331135)"
ABRRE,Sokovia,6.0,"(0.5456314493120638, -6.379407820298541e-29, 0.06454011873026252)"
ABRRE,Sokovia,7.0,"(0.3903568724351842, -1.4132198475267343e-30, 0.04864123493279385)"
ABRRE,Sokovia,8.0,"(0.44431331992308243, -1.4838902069074353e-29, 0.10180145573880883)"
ABRRE,Sokovia,9.0,"(0.37799157632761426, -8.563125680136729e-32, 0.08804643384237472)"
ABRRE,Sokovia,10.0,"(0.3986651173825762, -5.166673210723707e-30, 0.059918405771404074)"
ABRRE,Sokovia,11.0,"(0.3842942845377434, -2.5863754849938595e-30, 0.07595044335536112)"
ABRRE,Sokovia,12.0,"(0.2098764686519642, -1.4213920797098267e-30, 0.05506875982614002)"
ABRRE,Themyscira,1.0,"(0.4144063814079131, -2.1989359501639912e-29, 0.07344527655059302)"
ABRRE,Themyscira,2.0,"(0.5909297308734909, -1.3571513752691061e-30, 0.055401852367751386)"
ABRRE,Themyscira,3.0,"(0.5205218581452911, -8.093354380410332e-31, 0.05845902828780837)"
ABRRE,Themyscira,4.0,"(0.7221236056372697, -6.053324314966686e-30, 0.0666013922933659)"
ABRRE,Themyscira,5.0,"(0.4637851218403044, -4.936257299839703e-30, 0.06504502251960743)"
ABRRE,Themyscira,6.0,"(0.7359644501246667, -5.304314167430601e-31, 0.057566190126957045)"
ABRRE,Themyscira,7.0,"(0.38936993728831115, -3.2885724976963562e-31, 0.05199492257891549)"
ABRRE,Themyscira,8.0,"(0.12850879306888585, -1.2471098491720738e-30, 0.04282360539697493)"
ABRRE,Themyscira,9.0,"(0.5934623644810078, -4.223622336692932e-29, 0.050444263577501605)"
ABRRE,Themyscira,10.0,"(0.33542076134189835, -4.3319030830381964e-31, 0.04931564448563859)"
ABRRE,Themyscira,11.0,"(0.8019892909095454, -1.9285538462085156e-28, 0.0349460172681381)"
ABRRE,Themyscira,12.0,"(0.31301499920956244, -2.436012851827957e-29, 0.08820301169705558)"
ABRRE,Wakanda,1.0,"(0.362112995491192, -1.4184519037493303e-30, 0.09442408016631262)"
ABRRE,Wakanda,2.0,"(0.11422092184788821, -1.6244737138291345e-28, 0.060961770143025076)"
ABRRE,Wakanda,3.0,"(0.5035288726714869, -7.828071083618327e-34, 0.10901752823474281)"
ABRRE,Wakanda,4.0,"(0.3066360031578341, -1.4134670709558732e-16, 0.06175439171885952)"
ABRRE,Wakanda,5.0,"(0.6531109053706591, -2.61329331482422e-29, 0.08277360884247406)"
ABRRE,Wakanda,6.0,"(0.23721551083985618, -1.1508982737024822e-31, 0.08709786204658729)"
ABRRE,Wakanda,7.0,"(0.384162170860344, -6.919283109024459e-30, 0.08297192783489979)"
ABRRE,Wakanda,8.0,"(0.5527483231813315, -7.031587909050324e-31, 0.16993348415778683)"
ABRRE,Wakanda,9.0,"(0.5685256775078588, -1.3766499822937337e-29, 0.05647654985233318)"
ABRRE,Wakanda,10.0,"(0.3434052013357519, -7.806641580885027e-33, 0.0856019159615661)"
ABRRE,Wakanda,11.0,"(0.4597090553790357, -1.4128879293272256e-29, 0.06966617844621786)"
ABRRE,Wakanda,12.0,"(0.1922707934296186, -3.0803349595467968e-30, 0.04926175406941291)"
AIMST,Aldovia,1.0,"(3.2472285483628105, -0.010938747925529738, 0.018299802504918437)"
AIMST,Aldovia,2.0,"(1.6116632966118978, -0.002835279023404829, 0.03278352175122956)"
AIMST,Aldovia,3.0,"(1.8822272638776236, -0.0031883981710382828, 0.026728458171322286)"
AIMST,Aldovia,4.0,"(0.662163233551532, -2.362212717159693e-30, 0.05602656710611191)"
AIMST,Aldovia,5.0,"(1.787637283745497, -0.0037533539736379134, 0.02905864363394873)"
AIMST,Aldovia,6.0,"(1.7751159841712416, -0.0029702286428456987, 0.029530822240567862)"
AIMST,Aldovia,7.0,"(0.3087087539424633, -1.7848175315067216e-28, 1.3625789255154395)"
AIMST,Aldovia,8.0,"(1.743161578840259, -0.0035570678581771965, 0.029072029365411138)"
AIMST,Aldovia,9.0,"(2.7015537306957, -0.007888618662114977, 0.021199479208832313)"
AIMST,Aldovia,10.0,"(0.7836033277113292, -4.476066069045136e-28, 0.05786155314098297)"
AIMST,Aldovia,11.0,"(2.3158130194932003, -0.006673180608916675, 0.023692098690903073)"
AIMST,Aldovia,12.0,"(4.758441957850499, -0.020143918591189712, 0.015801367604753286)"
AIMST,Atlantis,1.0,"(0.8196834902097807, -1.8245357621949302e-30, 0.04470748530837265)"
AIMST,Atlantis,2.0,"(0.7265878759751896, -1.1522639819594329e-29, 0.03452336531731397)"
AIMST,Atlantis,3.0,"(0.6193482922869943, -3.023325670937956e-29, 0.03966676981752478)"
AIMST,Atlantis,4.0,"(0.7021463841765876, -5.48321971120807e-28, 0.03714773903797186)"
AIMST,Atlantis,5.0,"(0.542046018458251, -8.353754934697526e-27, 0.05955595491670061)"
AIMST,Atlantis,6.0,"(0.43859116298473544, -7.179187769856002e-29, 0.059725773690307224)"
AIMST,Atlantis,7.0,"(0.7074164509981103, -8.30192918000271e-28, 0.03495434859758974)"
AIMST,Atlantis,8.0,"(0.8052764442559052, -1.403597991114737e-29, 0.03329820146252409)"
AIMST,Atlantis,9.0,"(0.5409760993533228, -3.241730352661907e-30, 0.03707566460656826)"
AIMST,Atlantis,10.0,"(0.5187870878236813, -2.832078160086004e-29, 0.04666482230972176)"
AIMST,Atlantis,11.0,"(0.6642643543492395, -5.631341719917158e-30, 0.03852140812813572)"
AIMST,Atlantis,12.0,"(0.734681679408049, -1.5263787677653402e-30, 0.05042331709231579)"
AIMST,Beleria,1.0,"(0.4686003761520138, -1.4637612244191594e-30, 0.06952879529731151)"
AIMST,Beleria,2.0,"(0.14381660431225296, -1.2773655342207771e-30, 0.05015289105197401)"
AIMST,Braavos,2.0,"(1.8267607336160863, -0.0037245786229750362, 0.030850197834462238)"
AIMST,Braavos,3.0,"(0.7915336042897481, 0.0030614511145940493, 0.05851959861972489)"
AIMST,Braavos,4.0,"(3.406061255097086, -0.012679610661762413, 0.019174975536459218)"
AIMST,Braavos,5.0,"(2.4972721268549294, -0.007619849611249735, 0.02707746581065623)"
AIMST,Braavos,6.0,"(1.729832715702805, -0.002466308256250034, 0.028953689446100474)"
AIMST,Braavos,7.0,"(2.210626339326546, -0.00445473576092879, 0.023302599522554687)"
AIMST,Braavos,8.0,"(0.7786222136031162, -1.8111633391510164e-28, 0.05426196644839201)"
AIMST,Braavos,9.0,"(0.9022387474017627, -3.7701341751281676e-27, 0.05028394529052051)"
AIMST,Braavos,10.0,"(1.7603297948016468, -0.0033087744357943086, 0.028930715523397696)"
AIMST,Braavos,11.0,"(1.5784713034283313, -0.0025097391554123553, 0.03493345782779399)"
AIMST,Braavos,12.0,"(0.7160091859264116, -5.3809390254398596e-30, 0.04664562108675233)"
AIMST,Coruscant,1.0,"(0.5509128847711342, -7.220179453350786e-30, 0.03428762760663749)"
AIMST,Coruscant,2.0,"(0.8527174181365265, -5.276640007805905e-26, 0.037881873729446805)"
AIMST,Coruscant,3.0,"(0.7027432050505862, -3.5297441376101425e-29, 0.04203640039713192)"
AIMST,Coruscant,4.0,"(0.6123363011460148, -2.6807496359069396e-29, 0.04726521932047112)"
AIMST,Coruscant,5.0,"(0.6164619379868765, -4.187767445737661e-30, 0.05395918528161989)"
AIMST,Coruscant,6.0,"(0.49015282475198785, -1.902225136384858e-28, 0.038946367020119374)"
AIMST,Coruscant,7.0,"(0.7710487981613385, -3.867874030548088e-27, 0.02963755111495458)"
AIMST,Coruscant,8.0,"(0.463172332386889, -1.3990964410558683e-30, 0.030413548463878143)"
AIMST,Coruscant,9.0,"(0.412075216158844, -3.0235360466204606e-30, 0.05175312534486902)"
AIMST,Coruscant,10.0,"(0.34540061333910266, -7.91260665792884e-27, 0.0644023349267509)"
AIMST,Coruscant,11.0,"(0.7720714518403897, -1.2207441903147404e-29, 0.033890403007950584)"
AIMST,Coruscant,12.0,"(0.5674345031906667, -1.5802286442378258e-30, 0.05284663899592938)"
AIMST,Dorne,1.0,"(0.5400316612557376, -9.671644375606394e-32, 0.06300836738217974)"
AIMST,Dorne,2.0,"(0.4064597025768306, -5.23648073969063e-32, 0.07629901470863273)"
AIMST,Dorne,3.0,"(0.3136495197043295, -5.1639704935311565e-30, 0.10548439116395505)"
AIMST,Dorne,4.0,"(0.7542972635587774, -7.477040633098504e-32, 0.17776674196780412)"
AIMST,Dorne,5.0,"(0.5336776114594597, -5.7585923740617776e-30, 0.07838817680443574)"
AIMST,Dorne,6.0,"(0.43748542426220904, -2.9811477813657514e-31, 0.10580685322479697)"
AIMST,Dorne,7.0,"(0.3715935503202232, -1.039825532102796e-31, 0.09691853531846896)"
AIMST,Dorne,8.0,"(0.30132302725734894, -3.970544880418087e-30, 0.08183821950558862)"
AIMST,Dorne,9.0,"(0.2488092223460033, -2.43746471917173e-30, 0.08821423171342316)"
AIMST,Dorne,10.0,"(0.3936524179603017, -1.4705964781376391e-28, 0.0548408839843338)"
AIMST,Dorne,11.0,"(0.50046639188992, -1.9331609384283778e-29, 1.2088920351104524)"
AIMST,Dorne,12.0,"(0.30355807825886555, -2.0391855129105627e-31, 0.08642000165814319)"
AIMST,Eriador,1.0,"(0.29621731372591326, -4.009145512041425e-29, 0.0729847853477176)"
AIMST,Eriador,10.0,"(0.6101484432334445, -5.613344180677508e-32, 0.15462042520806696)"
AIMST,Eriador,11.0,"(0.4346010360432523, -2.5437541527559686e-31, 0.058307997091343336)"
AIMST,Eriador,12.0,"(0.37506583827771234, -2.1284029975561277e-29, 0.08252108490903018)"
AIMST,Etheria,1.0,"(0.7358595205689153, -1.6156144361347147e-29, 0.2084785118090257)"
AIMST,Etheria,2.0,"(0.5815081228215699, -6.0812918454242376e-30, 0.2520750601628037)"
AIMST,Etheria,3.0,"(0.6917956508914483, -2.7186131051266694e-30, 0.24051920206323446)"
AIMST,Etheria,4.0,"(0.16890760989111514, -6.645779951990427e-29, 0.1989151282828591)"
AIMST,Etheria,5.0,"(0.8478872849048118, -1.3092291350649434e-30, 0.19562336305444572)"
AIMST,Etheria,6.0,"(0.6534313781624441, -5.993029331383331e-31, 0.20756404341689577)"
AIMST,Etheria,7.0,"(0.6975209877870344, -6.383842741342351e-31, 0.2076524560098818)"
AIMST,Etheria,8.0,"(0.6340676155216429, -3.0180642877548515e-30, 0.25429402947238733)"
AIMST,Etheria,9.0,"(0.8583497411249265, -4.4778540676489436e-30, 0.275090341778734)"
AIMST,Etheria,10.0,"(0.49999811763352875, -7.722225133950809e-30, 0.23928758719763726)"
AIMST,Etheria,11.0,"(0.2805475537403912, -4.220567610149853e-29, 0.17996940871868833)"
AIMST,Etheria,12.0,"(0.6112725989526406, -1.4982802118283266e-30, 0.2556578960887259)"
AIMST,Gallifrey,1.0,"(0.6768353097479658, -1.7636741501650403e-29, 0.0752839350944535)"
AIMST,Gallifrey,2.0,"(0.41738482678453614, -1.2657506225566608e-29, 0.10288904024245249)"
AIMST,Gallifrey,3.0,"(0.8847462763331555, -2.99865213328872e-31, 0.04800614268833691)"
AIMST,Gallifrey,4.0,"(0.35213964711230494, -1.8164424412554536e-29, 0.5628175485379132)"
AIMST,Gallifrey,5.0,"(1.1970732704340366, -0.0005366541624849839, 0.04153169179144388)"
AIMST,Gallifrey,6.0,"(1.50731727285872, -0.0025089658259036867, 0.03325629288679079)"
AIMST,Gallifrey,7.0,"(0.27327590686864356, -6.38189152039272e-31, 0.9622274648403593)"
AIMST,Gallifrey,8.0,"(1.9821900781438793, -0.004729458069192996, 0.026087094830048164)"
AIMST,Gallifrey,9.0,"(0.9102275104225115, -2.369761497970699e-29, 0.049014793506785656)"
AIMST,Gallifrey,10.0,"(0.5629948354926572, -7.515381684044752e-30, 0.4558085077145006)"
AIMST,Gallifrey,11.0,"(0.9105353999493286, -2.463018479135551e-22, 0.05319877681116253)"
AIMST,Gallifrey,12.0,"(0.7130560989157313, -1.705885437005655e-26, 0.05683022462369637)"
AIMST,Hogwarts,1.0,"(13.667333667020786, -0.03318857615910009, 0.005754093140703994)"
AIMST,Hogwarts,2.0,"(0.3991176481189208, -1.323788117859388e-28, 0.4182189585437277)"
AIMST,Hogwarts,3.0,"(2.659584982623647, -0.0049913053038377515, 0.019781425348258046)"
AIMST,Hogwarts,4.0,"(0.28709683072438175, -9.439338656680493e-29, 1.3751930877601946)"
AIMST,Hogwarts,5.0,"(1.2334119685338907, 0.010979001315002297, 0.03267650803816686)"
AIMST,Hogwarts,7.0,"(1.9079002440608335, -0.002876128578588023, 0.024976485053925884)"
AIMST,Hogwarts,8.0,"(1.8712751641763277, 0.001676987904742237, 0.024551202842963082)"
AIMST,Hogwarts,9.0,"(0.26496342826364283, -7.200245224841467e-29, 1.7433467167193544)"
AIMST,Hogwarts,10.0,"(1.9317218946120098, 0.0009912615005493379, 0.022666470205810176)"
AIMST,Hogwarts,11.0,"(1.6796015414206193, -0.002998040681222655, 0.03231712470138849)"
AIMST,Hogwarts,12.0,"(0.6113421804011256, -7.49071490988722e-26, 0.0589726840419946)"
AIMST,Latveria,3.0,"(6.522249337765017, -0.01745881578967508, 0.010746357460016922)"
AIMST,Latveria,4.0,"(2.1382840080024317, 0.005914828763904142, 0.01849130043924316)"
AIMST,Latveria,5.0,"(0.6340514764413292, -3.4852811893869444e-31, 0.05734034879168158)"
AIMST,Latveria,6.0,"(0.8599116191951063, 0.01797710574060523, 0.03453982924444905)"
AIMST,Latveria,7.0,"(1.2810057872274259, 0.0016205565863104223, 0.03267548710986906)"
AIMST,Latveria,9.0,"(2.0937075046263978, 0.006327524523790363, 0.0197218417816823)"
AIMST,Latveria,10.0,"(0.7643330758062374, -5.6578522375430825e-28, 0.03511329515036327)"
AIMST,Panem,1.0,"(1.852803060319037, -0.0023868483343886535, 0.026475454140934294)"
AIMST,Panem,2.0,"(2.0217366777141046, -0.004441918138323829, 0.026683534591826777)"
AIMST,Panem,3.0,"(1.8082672588529842, -0.0020266342260829885, 0.026776148668695036)"
AIMST,Panem,4.0,"(1.626284893746269, -0.001972230526145686, 0.031453547257638825)"
AIMST,Panem,5.0,"(2.1755432241214074, -0.005186115625007862, 0.026077370975781364)"
AIMST,Panem,6.0,"(1.4616614653175137, -0.0017749661092147317, 0.03458747375326246)"
AIMST,Panem,7.0,"(0.3154081650764576, -1.1169722902935554e-28, 1.0320271071739242)"
AIMST,Panem,8.0,"(1.4696205983266446, -0.0013857769789728804, 0.0316392894491877)"
AIMST,Panem,9.0,"(2.526767781432187, -0.005733081359696416, 0.02067641302058522)"
AIMST,Panem,10.0,"(1.5471508183120732, -0.0012317523548802621, 0.031033871413142365)"
AIMST,Panem,11.0,"(1.755153534201054, -0.0010467379356098464, 0.028101499734954453)"
AIMST,Panem,12.0,"(0.8534994992838337, -4.710628803768485e-27, 0.05050849907001187)"
AIMST,Prydain,1.0,"(0.19856712253957295, -4.469329675524024e-29, 0.11913874896424859)"
AIMST,Prydain,2.0,"(0.1138760722102719, -9.054177768161655e-31, 0.15623087056572604)"
AIMST,Prydain,3.0,"(0.08897546925427745, -1.0543398610891677e-29, 0.135174284948139)"
AIMST,Prydain,4.0,"(0.1274227831162894, -2.3154351200619687e-30, 0.1420788977405334)"
AIMST,Prydain,5.0,"(0.23893380886675702, -1.9729191071495937e-30, 0.03224714206674453)"
AIMST,Prydain,6.0,"(0.08536443712221378, -2.0420742269639302e-30, 0.02790976512540852)"
AIMST,Prydain,7.0,"(0.3687938219608833, -4.390392751659758e-31, 0.1353189255678608)"
AIMST,Prydain,8.0,"(0.06319371023791166, -1.5163042160731482e-31, 0.1798165830922355)"
AIMST,Prydain,9.0,"(0.19262920672103717, -6.7455387066398e-32, 0.12155835052106387)"
AIMST,Prydain,10.0,"(0.774185349827957, -7.026138170707589e-31, 0.1935701273378232)"
AIMST,Prydain,11.0,"(0.16167925860673094, -3.4751421763775317e-34, 0.033699933417707634)"
AIMST,Prydain,12.0,"(0.07548670582653838, -2.3779678591646315e-29, 0.11240291356844634)"
AIMST,Qarth,1.0,"(0.5347483506236757, -1.785156948921518e-27, 0.0348237355771251)"
AIMST,Qarth,2.0,"(0.429639125499922, -8.270554792240421e-30, 0.05698153652442501)"
AIMST,Qarth,3.0,"(0.319189087627363, -1.7504288104062567e-30, 0.058231117064542696)"
AIMST,Qarth,4.0,"(0.3723259639870428, -2.762966911851369e-29, 0.06513462828068911)"
AIMST,Qarth,5.0,"(0.8281091698095229, -1.527710844779615e-28, 0.053146887366203786)"
AIMST,Qarth,6.0,"(0.22969224483318987, -3.230699121345439e-29, 0.09422344758651141)"
AIMST,Qarth,7.0,"(0.6364086704158856, -1.0480934055671953e-28, 0.052547939602714526)"
AIMST,Qarth,8.0,"(0.4177360548261039, -7.321073978514176e-32, 0.0607782019547036)"
AIMST,Qarth,9.0,"(0.298937356339701, -3.275846765754471e-32, 0.061995195658357614)"
AIMST,Qarth,10.0,"(0.5041923940250924, -2.9972977982489374e-29, 0.08567842961940117)"
AIMST,Qarth,11.0,"(0.8574172985108444, -2.2683657198393457e-33, 0.08601655371024794)"
AIMST,Qarth,12.0,"(0.449910102046544, -3.261700999571493e-30, 0.05170093248413296)"
AIMST,Sokovia,1.0,"(0.5324399984905315, -3.63556786872528e-30, 0.05115477148272278)"
AIMST,Sokovia,2.0,"(0.4030755216227356, -3.846950240880301e-29, 0.06041911244610681)"
AIMST,Sokovia,3.0,"(0.3253114691399397, -6.42682399223457e-30, 0.09219390269310374)"
AIMST,Sokovia,4.0,"(0.3478053398276215, -7.412360279429958e-30, 0.07017518211920756)"
AIMST,Sokovia,5.0,"(0.23548836365760845, -1.6364690863736334e-29, 0.06911979518966924)"
AIMST,Sokovia,6.0,"(0.34593955065942217, -6.926626858167292e-30, 0.0680387243735398)"
AIMST,Sokovia,7.0,"(0.348721197776906, -4.1457123232808545e-30, 0.06140784673083975)"
AIMST,Sokovia,8.0,"(0.5408260303407093, -2.648240720836596e-29, 0.14368215734758222)"
AIMST,Sokovia,9.0,"(0.3032280851086402, -7.044053763724166e-30, 0.07474143057352291)"
AIMST,Sokovia,10.0,"(0.3457025531929905, -2.5298528896378733e-30, 0.06902918894739565)"
AIMST,Sokovia,11.0,"(0.35766912793442285, -1.6857172061228924e-29, 0.0739993041567523)"
AIMST,Sokovia,12.0,"(0.44538723105556943, -1.3068515555113278e-28, 0.06936238042318871)"
AIMST,Wakanda,1.0,"(0.4754732609300507, -1.7996804216968502e-29, 0.06769812601875932)"
AIMST,Wakanda,2.0,"(0.6647765413532243, -4.2905946963088525e-29, 0.03784195682046515)"
AIMST,Wakanda,3.0,"(0.5962066006747878, -3.990012821506639e-29, 0.04667447850637729)"
AIMST,Wakanda,4.0,"(0.7777373079567437, -2.2182944813027105e-29, 0.04925587135035201)"
AIMST,Wakanda,5.0,"(0.5658729447364705, -1.3713619856620272e-30, 0.03901250763427723)"
AIMST,Wakanda,6.0,"(0.4853485180717045, -1.6414412180511982e-26, 0.07215512421684446)"
AIMST,Wakanda,7.0,"(0.34339697777854794, -1.58228275596134e-32, 0.10120349775263013)"
AIMST,Wakanda,8.0,"(0.3721316863352056, -4.833443549685776e-30, 0.10880476869255418)"
AIMST,Wakanda,9.0,"(0.2198081072078139, -2.4702214989794124e-30, 0.08022964172199631)"
AIMST,Wakanda,10.0,"(0.2854070019442131, -5.6626561844126185e-28, 0.05164255942600299)"
AIMST,Wakanda,11.0,"(0.6277191955521886, -5.290328460315268e-31, 0.1859367691412394)"
AIMST,Wakanda,12.0,"(0.16052090327297125, -5.654244215721442e-30, 0.0545781056885239)"
AIMST,Westeros,1.0,"(2.9547783899116586, -0.010466513361078933, 0.0219604659218766)"
AIMST,Westeros,2.0,"(0.29835000800243394, -2.775267386400393e-29, 1.3013557359054126)"
AIMST,Westeros,3.0,"(0.3205319611388374, -3.8843150413003204e-29, 1.3625789269486477)"
AIMST,Westeros,4.0,"(2.3122038866921457, -0.001967040753775519, 0.025045706253516285)"
AIMST,Westeros,5.0,"(0.31687651549802687, -1.75057646666839e-29, 0.8793921348938292)"
AIMST,Westeros,6.0,"(3.778354957086351, -0.006463203592465154, 0.016059864994902237)"
AIMST,Westeros,7.0,"(2.28743563601215, -0.001236120238479567, 0.022040642511142072)"
AIMST,Westeros,8.0,"(0.6599267614779896, -9.249098927302129e-28, 0.09631743094629346)"
AIMST,Westeros,9.0,"(0.29414479566254903, -4.593483911562272e-31, 1.3079377178900575)"
AIMST,Westeros,10.0,"(0.270870197056161, -4.724984701937484e-29, 1.4234189354399156)"
AIMST,Westeros,11.0,"(0.34434201174794754, -4.363715268344842e-29, 1.7905636472456699)"
