brand,country,month,norm_fit
ABRRE,Gallifrey,8.0,"(0.047619047619047616, 0.044355392772126946)"
ABRRE,Gallifrey,9.0,"(0.05, 0.03245541112264866)"
ABRRE,Gallifrey,10.0,"(0.05, 0.039016194384695606)"
ABRRE,Gallifrey,11.0,"(0.05263157894736842, 0.04571082287636627)"
ABRRE,Gondor,1.0,"(0.046357615894039736, 0.050756722062861394)"
ABRRE,Gondor,2.0,"(0.05185185185185185, 0.0526399440403359)"
ABRRE,Gondor,3.0,"(0.04672897196261682, 0.047071624207980445)"
ABRRE,Gondor,4.0,"(0.049079754601226995, 0.05060921935510788)"
ABRRE,Gondor,5.0,"(0.04729729729729729, 0.04521568226394352)"
ABRRE,Gondor,6.0,"(0.047619047619047616, 0.051048416205244695)"
ABRRE,Gondor,7.0,"(0.046052631578947366, 0.04758339705863237)"
ABRRE,Gondor,8.0,"(0.04697986577181208, 0.048023034025199064)"
ABRRE,Gondor,9.0,"(0.048, 0.04353764552584708)"
ABRRE,Gondor,10.0,"(0.046242774566473986, 0.047421512151609814)"
ABRRE,Gondor,11.0,"(0.047619047619047616, 0.04865544469803128)"
ABRRE,Gondor,12.0,"(0.057692307692307696, 0.07086040200971348)"
ABRRE,Sokovia,1.0,"(0.048484848484848485, 0.06465654901532575)"
ABRRE,Sokovia,2.0,"(0.05, 0.05971547421732087)"
ABRRE,Sokovia,3.0,"(0.04807692307692308, 0.05484410159896483)"
ABRRE,Sokovia,4.0,"(0.05161290322580645, 0.0614630583147668)"
ABRRE,Sokovia,5.0,"(0.05194805194805195, 0.054192776304543853)"
ABRRE,Sokovia,6.0,"(0.05194805194805195, 0.05404483596902617)"
ABRRE,Sokovia,7.0,"(0.046511627906976744, 0.06205154564325079)"
ABRRE,Sokovia,8.0,"(0.049586776859504134, 0.05966682472779495)"
ABRRE,Sokovia,9.0,"(0.046875, 0.05841907946025959)"
ABRRE,Sokovia,10.0,"(0.04666666666666667, 0.05571923976313983)"
ABRRE,Sokovia,11.0,"(0.051470588235294115, 0.059062984500452886)"
ABRRE,Sokovia,12.0,"(0.05063291139240506, 0.06696329289706603)"
ABRRE,Themyscira,1.0,"(0.04861111111111111, 0.05913084541545264)"
ABRRE,Themyscira,2.0,"(0.050314465408805034, 0.059139397481657995)"
ABRRE,Themyscira,3.0,"(0.047058823529411764, 0.054709442589820814)"
ABRRE,Themyscira,4.0,"(0.05154639175257732, 0.062283854956021144)"
ABRRE,Themyscira,5.0,"(0.049079754601226995, 0.05801783512566049)"
ABRRE,Themyscira,6.0,"(0.04891304347826087, 0.049403005488365584)"
ABRRE,Themyscira,7.0,"(0.04477611940298507, 0.05315436989847782)"
ABRRE,Themyscira,8.0,"(0.04639175257731959, 0.048805685108020115)"
ABRRE,Themyscira,9.0,"(0.04651162790697674, 0.048774582258151816)"
ABRRE,Themyscira,10.0,"(0.046632124352331605, 0.048767007453538236)"
ABRRE,Themyscira,11.0,"(0.046511627906976744, 0.04794023625087336)"
ABRRE,Themyscira,12.0,"(0.05298013245033112, 0.06492977621232322)"
ABRRE,Wakanda,1.0,"(0.046511627906976744, 0.06298165809344312)"
ABRRE,Wakanda,2.0,"(0.05405405405405405, 0.07285415228399032)"
ABRRE,Wakanda,3.0,"(0.05, 0.06467399960696638)"
ABRRE,Wakanda,4.0,"(0.05, 0.03854221943436084)"
ABRRE,Wakanda,5.0,"(0.048780487804878044, 0.06405567613226974)"
ABRRE,Wakanda,6.0,"(0.05, 0.07211618728681125)"
ABRRE,Wakanda,7.0,"(0.04687500000000001, 0.0600991482855125)"
ABRRE,Wakanda,8.0,"(0.04761904761904763, 0.08166031015397807)"
ABRRE,Wakanda,9.0,"(0.04651162790697674, 0.05848936955493211)"
ABRRE,Wakanda,10.0,"(0.04761904761904763, 0.06401248424839706)"
ABRRE,Wakanda,11.0,"(0.05, 0.06945505487168244)"
ABRRE,Wakanda,12.0,"(0.05263157894736841, 0.08327586551934284)"
AIMST,Aldovia,1.0,"(0.048484848484848485, 0.0319200190045238)"
AIMST,Aldovia,2.0,"(0.05, 0.038313813090818445)"
AIMST,Aldovia,3.0,"(0.04712041884816754, 0.03553999485709562)"
AIMST,Aldovia,4.0,"(0.05142857142857143, 0.04423386624269358)"
AIMST,Aldovia,5.0,"(0.04819277108433735, 0.03738033799774274)"
AIMST,Aldovia,6.0,"(0.04945054945054945, 0.03929458321089643)"
AIMST,Aldovia,7.0,"(0.04455445544554455, 0.0356052480304085)"
AIMST,Aldovia,8.0,"(0.04712041884816754, 0.03573903755767487)"
AIMST,Aldovia,9.0,"(0.04938271604938271, 0.035132092692000925)"
AIMST,Aldovia,10.0,"(0.04624277456647398, 0.04017539522837791)"
AIMST,Aldovia,11.0,"(0.04819277108433735, 0.035561379075358515)"
AIMST,Aldovia,12.0,"(0.05504587155963303, 0.033814568145933074)"
AIMST,Atlantis,1.0,"(0.048, 0.055027234498398324)"
AIMST,Atlantis,2.0,"(0.049689440993788817, 0.05281029950461583)"
AIMST,Atlantis,3.0,"(0.046875, 0.04428723902408021)"
AIMST,Atlantis,4.0,"(0.051470588235294115, 0.05592575833468801)"
AIMST,Atlantis,5.0,"(0.050847457627118633, 0.044826370328099746)"
AIMST,Atlantis,6.0,"(0.05027932960893855, 0.04984939942217229)"
AIMST,Atlantis,7.0,"(0.04411764705882353, 0.04306801442333789)"
AIMST,Atlantis,8.0,"(0.04519774011299434, 0.048374267939829255)"
AIMST,Atlantis,9.0,"(0.04678362573099415, 0.05079586085843616)"
AIMST,Atlantis,10.0,"(0.04519774011299435, 0.04828774316864413)"
AIMST,Atlantis,11.0,"(0.047619047619047616, 0.04972989415598685)"
AIMST,Atlantis,12.0,"(0.05521472392638037, 0.05892788634528806)"
AIMST,Beleria,1.0,"(0.045454545454545456, 0.06627570913346263)"
AIMST,Beleria,2.0,"(0.041666666666666664, 0.07496302204466178)"
AIMST,Braavos,2.0,"(0.05263157894736842, 0.04048406392213477)"
AIMST,Braavos,3.0,"(0.05263157894736841, 0.045780311308378896)"
AIMST,Braavos,4.0,"(0.05263157894736842, 0.03520558358335532)"
AIMST,Braavos,5.0,"(0.06000000000000001, 0.04329313563423889)"
AIMST,Braavos,6.0,"(0.047619047619047616, 0.03462613439020306)"
AIMST,Braavos,7.0,"(0.047058823529411764, 0.03492016802835855)"
AIMST,Braavos,8.0,"(0.05405405405405406, 0.042756629048203786)"
AIMST,Braavos,9.0,"(0.05194805194805195, 0.04018365011076033)"
AIMST,Braavos,10.0,"(0.047619047619047616, 0.03392209657637921)"
AIMST,Braavos,11.0,"(0.05263157894736842, 0.04076158304539383)"
AIMST,Braavos,12.0,"(0.05405405405405406, 0.04937180017399981)"
AIMST,Coruscant,1.0,"(0.04854368932038835, 0.04845462783436604)"
AIMST,Coruscant,2.0,"(0.04950495049504951, 0.0484248863107638)"
AIMST,Coruscant,3.0,"(0.04587155963302751, 0.05358497606929813)"
AIMST,Coruscant,4.0,"(0.05, 0.058033994943542735)"
AIMST,Coruscant,5.0,"(0.050847457627118654, 0.05608331926275073)"
AIMST,Coruscant,6.0,"(0.04819277108433735, 0.045336037551380826)"
AIMST,Coruscant,7.0,"(0.044444444444444446, 0.04281712730312762)"
AIMST,Coruscant,8.0,"(0.04878048780487804, 0.05688778874915509)"
AIMST,Coruscant,9.0,"(0.04597701149425287, 0.05519622224972485)"
AIMST,Coruscant,10.0,"(0.045977011494252866, 0.05071502005548111)"
AIMST,Coruscant,11.0,"(0.04878048780487805, 0.057238689840720156)"
AIMST,Coruscant,12.0,"(0.05454545454545453, 0.06277803237772545)"
AIMST,Dorne,1.0,"(0.05, 0.06677856303141938)"
AIMST,Dorne,2.0,"(0.04938271604938271, 0.07294689794711803)"
AIMST,Dorne,3.0,"(0.0457516339869281, 0.07441047216605835)"
AIMST,Dorne,4.0,"(0.049504950495049514, 0.0924907380407475)"
AIMST,Dorne,5.0,"(0.04761904761904762, 0.0694106545090533)"
AIMST,Dorne,6.0,"(0.05154639175257732, 0.06412752881887836)"
AIMST,Dorne,7.0,"(0.04736842105263158, 0.06712361793577254)"
AIMST,Dorne,8.0,"(0.04672897196261682, 0.06094065327270212)"
AIMST,Dorne,9.0,"(0.04800000000000001, 0.06858886852811341)"
AIMST,Dorne,10.0,"(0.04678362573099415, 0.06769972720982914)"
AIMST,Dorne,11.0,"(0.047619047619047616, 0.08110275226082202)"
AIMST,Dorne,12.0,"(0.046296296296296294, 0.06617117600494665)"
AIMST,Eriador,1.0,"(0.04761904761904761, 0.06977518301371628)"
AIMST,Eriador,10.0,"(0.04347826086956521, 0.07948917385501221)"
AIMST,Eriador,11.0,"(0.05263157894736841, 0.0604427409441245)"
AIMST,Eriador,12.0,"(0.06666666666666667, 0.09642438684437786)"
AIMST,Etheria,1.0,"(0.04761904761904761, 0.11999224847663646)"
AIMST,Etheria,2.0,"(0.04950495049504949, 0.1282928183924412)"
AIMST,Etheria,3.0,"(0.047619047619047616, 0.12492188280628874)"
AIMST,Etheria,4.0,"(0.04878048780487806, 0.11185750656386222)"
AIMST,Etheria,5.0,"(0.049180327868852465, 0.11500201546304986)"
AIMST,Etheria,6.0,"(0.046875, 0.11042705298994884)"
AIMST,Etheria,7.0,"(0.04411764705882354, 0.11209443661242874)"
AIMST,Etheria,8.0,"(0.05263157894736842, 0.13326843987612666)"
AIMST,Etheria,9.0,"(0.058823529411764705, 0.16353151280039493)"
AIMST,Etheria,10.0,"(0.04347826086956521, 0.11292721974289191)"
AIMST,Etheria,11.0,"(0.047619047619047616, 0.10796707485930164)"
AIMST,Etheria,12.0,"(0.05128205128205128, 0.13155278339592905)"
AIMST,Gallifrey,1.0,"(0.04854368932038835, 0.05144496022432741)"
AIMST,Gallifrey,2.0,"(0.049586776859504134, 0.04633350359660903)"
AIMST,Gallifrey,3.0,"(0.047619047619047616, 0.040553266382044185)"
AIMST,Gallifrey,4.0,"(0.04929577464788732, 0.03960792082302818)"
AIMST,Gallifrey,5.0,"(0.04918032786885246, 0.045866436937546246)"
AIMST,Gallifrey,6.0,"(0.04761904761904762, 0.04220968087265649)"
AIMST,Gallifrey,7.0,"(0.045454545454545456, 0.03817913197187799)"
AIMST,Gallifrey,8.0,"(0.04697986577181208, 0.03576757929247553)"
AIMST,Gallifrey,9.0,"(0.048275862068965524, 0.03954556440823546)"
AIMST,Gallifrey,10.0,"(0.04929577464788732, 0.044384958131997984)"
AIMST,Gallifrey,11.0,"(0.04794520547945205, 0.0449376652415017)"
AIMST,Gallifrey,12.0,"(0.048951048951048945, 0.05002218994292561)"
AIMST,Hogwarts,1.0,"(0.04545454545454546, 0.021261691774747)"
AIMST,Hogwarts,2.0,"(0.05, 0.0342374645004385)"
AIMST,Hogwarts,3.0,"(0.047619047619047616, 0.029653660741682554)"
AIMST,Hogwarts,4.0,"(0.048387096774193554, 0.041007078727684255)"
AIMST,Hogwarts,5.0,"(0.051282051282051294, 0.0326917374639078)"
AIMST,Hogwarts,7.0,"(0.04477611940298508, 0.03296142329393119)"
AIMST,Hogwarts,8.0,"(0.047619047619047616, 0.033373462066599226)"
AIMST,Hogwarts,9.0,"(0.046511627906976744, 0.03665696380639201)"
AIMST,Hogwarts,10.0,"(0.04477611940298507, 0.03318495735584235)"
AIMST,Hogwarts,11.0,"(0.05128205128205128, 0.03943109000686182)"
AIMST,Hogwarts,12.0,"(0.05, 0.042644746712907945)"
AIMST,Latveria,3.0,"(0.05263157894736842, 0.02668168761320159)"
AIMST,Latveria,4.0,"(0.045454545454545456, 0.024006453115946538)"
AIMST,Latveria,5.0,"(0.05000000000000001, 0.0699592932379026)"
AIMST,Latveria,6.0,"(0.05263157894736842, 0.029458373740183397)"
AIMST,Latveria,7.0,"(0.043478260869565216, 0.032869352165366315)"
AIMST,Latveria,9.0,"(0.047619047619047616, 0.02911570941489259)"
AIMST,Latveria,10.0,"(0.04545454545454546, 0.03982719605929704)"
AIMST,Panem,1.0,"(0.046666666666666676, 0.03643366069100434)"
AIMST,Panem,2.0,"(0.049504950495049514, 0.03629680381298925)"
AIMST,Panem,3.0,"(0.04639175257731959, 0.03537822503652283)"
AIMST,Panem,4.0,"(0.04918032786885246, 0.03892560785288989)"
AIMST,Panem,5.0,"(0.05154639175257732, 0.03660204755183602)"
AIMST,Panem,6.0,"(0.04878048780487806, 0.03979736807917026)"
AIMST,Panem,7.0,"(0.0446927374301676, 0.03698892818556053)"
AIMST,Panem,8.0,"(0.04511278195488722, 0.03698440220122446)"
AIMST,Panem,9.0,"(0.046511627906976744, 0.03282657276503937)"
AIMST,Panem,10.0,"(0.04678362573099415, 0.03869594566893141)"
AIMST,Panem,11.0,"(0.04827586206896552, 0.03707961746683358)"
AIMST,Panem,12.0,"(0.05154639175257732, 0.04024632942452551)"
AIMST,Prydain,1.0,"(0.04838709677419355, 0.10637836092852435)"
AIMST,Prydain,2.0,"(0.05769230769230768, 0.1230912755422405)"
AIMST,Prydain,3.0,"(0.046052631578947366, 0.10341159346149072)"
AIMST,Prydain,4.0,"(0.05263157894736842, 0.11657858977738061)"
AIMST,Prydain,5.0,"(0.04878048780487805, 0.10449945792838403)"
AIMST,Prydain,6.0,"(0.049079754601226995, 0.10206307632188835)"
AIMST,Prydain,7.0,"(0.045454545454545456, 0.1018295378133125)"
AIMST,Prydain,8.0,"(0.04678362573099415, 0.10453821111546072)"
AIMST,Prydain,9.0,"(0.049079754601226995, 0.10275271728204043)"
AIMST,Prydain,10.0,"(0.04838709677419355, 0.11414492356052011)"
AIMST,Prydain,11.0,"(0.04794520547945205, 0.10244293103299575)"
AIMST,Prydain,12.0,"(0.05309734513274336, 0.10958321126919772)"
AIMST,Qarth,1.0,"(0.046511627906976744, 0.06099847299642051)"
AIMST,Qarth,2.0,"(0.05, 0.06700112428428016)"
AIMST,Qarth,3.0,"(0.04716981132075472, 0.05988480967651323)"
AIMST,Qarth,4.0,"(0.05263157894736842, 0.06351895012362216)"
AIMST,Qarth,5.0,"(0.05263157894736842, 0.06601713493029025)"
AIMST,Qarth,6.0,"(0.050847457627118654, 0.07160456088889298)"
AIMST,Qarth,7.0,"(0.045454545454545456, 0.057072750431226296)"
AIMST,Qarth,8.0,"(0.04950495049504949, 0.06154269793073174)"
AIMST,Qarth,9.0,"(0.04629629629629631, 0.0529531301982487)"
AIMST,Qarth,10.0,"(0.04411764705882353, 0.05870925085296139)"
AIMST,Qarth,11.0,"(0.047619047619047616, 0.06582873523400364)"
AIMST,Qarth,12.0,"(0.05357142857142857, 0.06723678202209096)"
AIMST,Sokovia,1.0,"(0.04827586206896552, 0.06939644654636735)"
AIMST,Sokovia,2.0,"(0.05, 0.07583210501474162)"
AIMST,Sokovia,3.0,"(0.04861111111111111, 0.06906548795796727)"
AIMST,Sokovia,4.0,"(0.050724637681159424, 0.06633895131842288)"
AIMST,Sokovia,5.0,"(0.05185185185185185, 0.07218449581151817)"
AIMST,Sokovia,6.0,"(0.05113636363636364, 0.07177260902130486)"
AIMST,Sokovia,7.0,"(0.046875, 0.0705800962669596)"
AIMST,Sokovia,8.0,"(0.04929577464788732, 0.06892971447088367)"
AIMST,Sokovia,9.0,"(0.04672897196261682, 0.06844326668933956)"
AIMST,Sokovia,10.0,"(0.04666666666666667, 0.063377710879402)"
AIMST,Sokovia,11.0,"(0.051612903225806445, 0.06910675150743828)"
AIMST,Sokovia,12.0,"(0.04895104895104895, 0.0726598373315085)"
AIMST,Wakanda,1.0,"(0.048780487804878044, 0.07080917458298724)"
AIMST,Wakanda,2.0,"(0.055555555555555566, 0.06520119861177977)"
AIMST,Wakanda,3.0,"(0.05172413793103448, 0.054996851593412034)"
AIMST,Wakanda,4.0,"(0.05, 0.054867978407280554)"
AIMST,Wakanda,5.0,"(0.046511627906976744, 0.04052258547338347)"
AIMST,Wakanda,6.0,"(0.04918032786885245, 0.04442053995795605)"
AIMST,Wakanda,7.0,"(0.04761904761904761, 0.05856072393295788)"
AIMST,Wakanda,8.0,"(0.04878048780487805, 0.06874671708724803)"
AIMST,Wakanda,9.0,"(0.047619047619047616, 0.059106918390916294)"
AIMST,Wakanda,10.0,"(0.047619047619047616, 0.046293594356511925)"
AIMST,Wakanda,11.0,"(0.049999999999999996, 0.08444457923984337)"
AIMST,Wakanda,12.0,"(0.05128205128205128, 0.07779709520296482)"
AIMST,Westeros,1.0,"(0.05442176870748299, 0.038153790800845105)"
AIMST,Westeros,2.0,"(0.05521472392638037, 0.0315961457359513)"
AIMST,Westeros,3.0,"(0.05027932960893855, 0.038040992564293226)"
AIMST,Westeros,4.0,"(0.05594405594405594, 0.04196004408762669)"
AIMST,Westeros,5.0,"(0.05172413793103448, 0.04058085218106348)"
AIMST,Westeros,6.0,"(0.05421686746987952, 0.032979479110719676)"
AIMST,Westeros,7.0,"(0.04918032786885246, 0.03466896206705672)"
AIMST,Westeros,8.0,"(0.06923076923076923, 0.05906259398955566)"
AIMST,Westeros,9.0,"(0.05084745762711865, 0.03947264181684096)"
AIMST,Westeros,10.0,"(0.04945054945054945, 0.040467019572768236)"
AIMST,Westeros,11.0,"(0.05357142857142857, 0.040153933607634265)"
AIMST,Westeros,12.0,"(0.06153846153846154, 0.053977909930615235)"
AIMST,Zamunda,1.0,"(0.049999999999999996, 0.058058519386554965)"
AIMST,Zamunda,2.0,"(0.050847457627118654, 0.07045399646159367)"
AIMST,Zamunda,3.0,"(0.04918032786885246, 0.07320274116115541)"
AIMST,Zamunda,4.0,"(0.05, 0.08480865342484131)"
AIMST,Zamunda,5.0,"(0.04651162790697674, 0.06139210518613534)"
AIMST,Zamunda,6.0,"(0.05555555555555555, 0.08004149413603565)"
AIMST,Zamunda,7.0,"(0.04545454545454544, 0.06524691350195974)"
AIMST,Zamunda,8.0,"(0.045454545454545456, 0.050336720990492266)"
AIMST,Zamunda,9.0,"(0.045454545454545456, 0.07908466319888104)"
AIMST,Zamunda,10.0,"(0.04477611940298507, 0.07684535608332772)"
AIMST,Zamunda,11.0,"(0.048387096774193554, 0.08253779648132195)"
AIMST,Zamunda,12.0,"(0.047619047619047616, 0.08909378920601103)"
AITPJ,Aldovia,1.0,"(0.04545454545454546, 0.030655169641618796)"
AITPJ,Aldovia,2.0,"(0.05000000000000002, 0.023697781866819412)"
AITPJ,Aldovia,3.0,"(0.047058823529411764, 0.0262674761596082)"
AITPJ,Aldovia,4.0,"(0.05128205128205128, 0.03545265278545362)"
AITPJ,Aldovia,5.0,"(0.04878048780487805, 0.03401457534383718)"
AITPJ,Aldovia,6.0,"(0.048780487804878044, 0.028622046947600628)"
AITPJ,Aldovia,7.0,"(0.044444444444444446, 0.027025510826185612)"
AITPJ,Aldovia,8.0,"(0.047619047619047616, 0.033672637060405)"
AITPJ,Aldovia,9.0,"(0.05, 0.037435677984630725)"
AITPJ,Aldovia,10.0,"(0.04672897196261683, 0.03433296780266685)"
AITPJ,Aldovia,11.0,"(0.04807692307692308, 0.03045215614249181)"
AITPJ,Aldovia,12.0,"(0.056818181818181816, 0.0410797839567098)"
AITPJ,Arendelle,1.0,"(0.049999999999999996, 0.06406343394905158)"
AITPJ,Arendelle,2.0,"(0.05555555555555555, 0.06569590212815013)"
AITPJ,Arendelle,3.0,"(0.04545454545454544, 0.04136052174126184)"
AITPJ,Arendelle,4.0,"(0.05128205128205127, 0.06769258004199302)"
AITPJ,Arendelle,5.0,"(0.058823529411764705, 0.06752083474882155)"
AITPJ,Arendelle,6.0,"(0.046511627906976744, 0.07913490982160488)"
AITPJ,Arendelle,7.0,"(0.04444444444444443, 0.060121845598775425)"
AITPJ,Arendelle,8.0,"(0.04761904761904763, 0.08224068164378946)"
AITPJ,Arendelle,9.0,"(0.05, 0.06480518182192346)"
AITPJ,Arendelle,10.0,"(0.05, 0.06158577298272851)"
AITPJ,Arendelle,11.0,"(0.04651162790697676, 0.06161974598525577)"
AITPJ,Arendelle,12.0,"(0.05, 0.0643646775408986)"
AITPJ,Arrakis,1.0,"(0.04819277108433735, 0.050885393612040634)"
AITPJ,Arrakis,2.0,"(0.05, 0.05731193386534666)"
AITPJ,Arrakis,3.0,"(0.044444444444444446, 0.06167950085584206)"
AITPJ,Arrakis,4.0,"(0.04672897196261683, 0.05340790924157056)"
AITPJ,Arrakis,5.0,"(0.046728971962616814, 0.04439429904551329)"
AITPJ,Arrakis,6.0,"(0.04999999999999999, 0.04727973407981899)"
AITPJ,Arrakis,7.0,"(0.04716981132075472, 0.05925042439944434)"
AITPJ,Arrakis,8.0,"(0.04504504504504504, 0.04805044147203966)"
AITPJ,Arrakis,9.0,"(0.048780487804878044, 0.05653694778725972)"
AITPJ,Arrakis,10.0,"(0.04504504504504504, 0.04558409543667767)"
AITPJ,Arrakis,11.0,"(0.05063291139240506, 0.050386141055456954)"
AITPJ,Arrakis,12.0,"(0.05263157894736842, 0.06475891088718412)"
AITPJ,Asgard,1.0,"(0.046511627906976744, 0.043452788797585816)"
AITPJ,Asgard,2.0,"(0.05, 0.048166428830405755)"
AITPJ,Asgard,3.0,"(0.04545454545454545, 0.038750644193584594)"
AITPJ,Asgard,4.0,"(0.05, 0.054151478773301565)"
AITPJ,Asgard,5.0,"(0.05333333333333334, 0.05101583540891112)"
AITPJ,Asgard,6.0,"(0.04819277108433736, 0.044760354433153855)"
AITPJ,Asgard,7.0,"(0.046296296296296294, 0.046000572465936626)"
AITPJ,Asgard,8.0,"(0.04716981132075473, 0.05215991239480154)"
AITPJ,Asgard,9.0,"(0.04716981132075473, 0.04372883738080969)"
AITPJ,Asgard,10.0,"(0.0449438202247191, 0.03241834428716243)"
AITPJ,Asgard,11.0,"(0.04950495049504951, 0.047124672518722634)"
AITPJ,Asgard,12.0,"(0.057471264367816084, 0.05521274733449198)"
AITPJ,Atlantis,1.0,"(0.047619047619047616, 0.032776999244070154)"
AITPJ,Atlantis,2.0,"(0.05, 0.02372039896705877)"
AITPJ,Atlantis,3.0,"(0.046153846153846156, 0.02272558053064685)"
AITPJ,Atlantis,4.0,"(0.05263157894736842, 0.02351231712332355)"
AITPJ,Atlantis,5.0,"(0.05454545454545453, 0.026111030846477475)"
AITPJ,Atlantis,6.0,"(0.05063291139240506, 0.02639556861812299)"
AITPJ,Atlantis,7.0,"(0.044444444444444446, 0.02090555478249697)"
AITPJ,Atlantis,8.0,"(0.04504504504504505, 0.02736990395477506)"
AITPJ,Atlantis,9.0,"(0.04761904761904763, 0.021397261093172228)"
AITPJ,Atlantis,10.0,"(0.04545454545454546, 0.021144291051495446)"
AITPJ,Atlantis,11.0,"(0.04761904761904763, 0.02169557220732002)"
AITPJ,Atlantis,12.0,"(0.05952380952380952, 0.0342181608997189)"
AITPJ,Beleria,1.0,"(0.046511627906976744, 0.09646164949438467)"
AITPJ,Beleria,3.0,"(0.04347826086956523, 0.08975660198177868)"
AITPJ,Beleria,5.0,"(0.05, 0.11446417942258431)"
AITPJ,Beleria,6.0,"(0.05263157894736843, 0.08481863643012752)"
AITPJ,Beleria,8.0,"(0.05, 0.11089909872009739)"
AITPJ,Beleria,9.0,"(0.047619047619047616, 0.09726640248656925)"
AITPJ,Beleria,10.0,"(0.05, 0.1126908151393314)"
AITPJ,Beleria,11.0,"(0.047619047619047616, 0.10181530958243802)"
AITPJ,Beleria,12.0,"(0.06666666666666667, 0.12783824800181334)"
AITPJ,Braavos,1.0,"(0.057692307692307696, 0.03828799744047697)"
AITPJ,Braavos,2.0,"(0.057142857142857155, 0.02429577624909538)"
AITPJ,Braavos,3.0,"(0.04918032786885246, 0.026790837437248725)"
AITPJ,Braavos,4.0,"(0.05263157894736842, 0.020255461389643445)"
AITPJ,Braavos,5.0,"(0.05797101449275364, 0.028583680920442132)"
AITPJ,Braavos,6.0,"(0.04938271604938273, 0.022683866759978105)"
AITPJ,Braavos,7.0,"(0.04938271604938271, 0.02153379936024567)"
AITPJ,Braavos,8.0,"(0.057471264367816105, 0.039968184886153446)"
AITPJ,Braavos,9.0,"(0.05376344086021505, 0.024317536377344528)"
